lineLimit;blankQueryTime;;;lineLimit;blankQueryTime (rounded to seventh digit)
11900;0.001599884033203125;;;11900;0,0015999
12000;0.001200103759765625;;;12000;0,0012001
12100;0.001000213623046875;;;12100;0,0010002
12200;0.0013968944549560547;;;12200;0,0013969
12300;0.001000356674194336;;;12300;0,0010004
12400;0.0010000705718994141;;;12400;0,0010001
12500;0.001199960708618164;;;12500;0,0012
12600;0.000998067855834961;;;12600;0,0009981
12700;0.0011977672576904297;;;12700;0,0011978
12800;0.0009999275207519531;;;12800;0,0009999
12900;0.0017699241638183595;;;12900;0,0017699
13000;0.0019267082214355468;;;13000;0,0019267
13100;0.001399993896484375;;;13100;0,0014
13200;0.001199626922607422;;;13200;0,0011996
13300;0.0009998798370361329;;;13300;0,0009999
13400;0.0013999462127685547;;;13400;0,0013999
13500;0.0010000228881835937;;;13500;0,001
13600;0.001200103759765625;;;13600;0,0012001
13700;0.0016004562377929688;;;13700;0,0016005
13800;0.0010026931762695313;;;13800;0,0010027
13900;0.0014004230499267579;;;13900;0,0014004
14000;0.001399660110473633;;;14000;0,0013997
14100;0.0012000560760498046;;;14100;0,0012001
14200;0.0009999752044677734;;;14200;0,001
14300;0.001199817657470703;;;14300;0,0011998
14400;0.0012001991271972656;;;14400;0,0012002
14500;0.001199960708618164;;;14500;0,0012
14600;0.0012000560760498046;;;14600;0,0012001
14700;0.0010003089904785157;;;14700;0,0010003
14800;0.0012004375457763672;;;14800;0,0012004
14900;0.001400136947631836;;;14900;0,0014001
15000;0.0014023303985595704;;;15000;0,0014023
15100;0.0009993553161621095;;;15100;0,0009994
15200;0.0013430118560791016;;;15200;0,001343
15300;0.0012004852294921875;;;15300;0,0012005
15400;0.0013991832733154298;;;15400;0,0013992
15500;0.0009996891021728516;;;15500;0,0009997
15600;0.0012001514434814454;;;15600;0,0012002
15700;0.0010004043579101562;;;15700;0,0010004
15800;0.0011772632598876954;;;15800;0,0011773
15900;0.0011000633239746094;;;15900;0,0011001
16000;0.0009999752044677734;;;16000;0,001
16100;0.0015999794006347657;;;16100;0,0016
16200;0.0018444538116455078;;;16200;0,0018445
16300;0.0012040138244628906;;;16300;0,001204
16400;0.0011993408203125;;;16400;0,0011993
16500;0.0009998798370361329;;;16500;0,0009999
16600;0.0010361671447753906;;;16600;0,0010362
16700;0.0009996414184570313;;;16700;0,0009996
16800;0.0009998798370361329;;;16800;0,0009999
16900;0.0012000083923339843;;;16900;0,0012
17000;0.000999593734741211;;;17000;0,0009996
17100;0.000986003875732422;;;17100;0,000986
17200;0.0012016773223876953;;;17200;0,0012017
17300;0.001596975326538086;;;17300;0,001597
17400;0.0011968135833740235;;;17400;0,0011968
17500;0.0020001411437988283;;;17500;0,0020001
17600;0.0010000228881835937;;;17600;0,001
17700;0.0011990070343017578;;;17700;0,001199
17800;0.001199817657470703;;;17800;0,0011998
17900;0.001200246810913086;;;17900;0,0012002
18000;0.0010004997253417968;;;18000;0,0010005
18100;0.001200103759765625;;;18100;0,0012001
18200;0.001028585433959961;;;18200;0,0010286
18300;0.0010440826416015625;;;18300;0,0010441
18400;0.0010000705718994141;;;18400;0,0010001
18500;0.0014005184173583984;;;18500;0,0014005
18600;0.0014004230499267579;;;18600;0,0014004
18700;0.0012003421783447266;;;18700;0,0012003
18800;0.0014004230499267579;;;18800;0,0014004
18900;0.0009999275207519531;;;18900;0,0009999
19000;0.0012000560760498046;;;19000;0,0012001
19100;0.00720057487487793;;;19100;0,0072006
19200;0.0016002655029296875;;;19200;0,0016003
19300;0.00160064697265625;;;19300;0,0016006
19400;0.0018000125885009766;;;19400;0,0018
19500;0.0011999130249023438;;;19500;0,0011999
19600;0.001800537109375;;;19600;0,0018005
19700;0.0012027263641357423;;;19700;0,0012027
19800;0.001199960708618164;;;19800;0,0012
19900;0.0009998798370361329;;;19900;0,0009999
20000;0.001199960708618164;;;20000;0,0012
20100;0.001199626922607422;;;20100;0,0011996
20200;0.0020000457763671873;;;20200;0,002
20300;0.0013968944549560547;;;20300;0,0013969
20400;0.0011999130249023438;;;20400;0,0011999
20500;0.0017970085144042968;;;20500;0,001797
20600;0.0030005455017089845;;;20600;0,0030005
20700;0.0018000125885009766;;;20700;0,0018
20800;0.001196575164794922;;;20800;0,0011966
20900;0.0018004894256591797;;;20900;0,0018005
21000;0.001000213623046875;;;21000;0,0010002
21100;0.0010001182556152344;;;21100;0,0010001
21200;0.0009998321533203126;;;21200;0,0009998
21300;0.0013967037200927734;;;21300;0,0013967
21400;0.0010000705718994141;;;21400;0,0010001
21500;0.0009992122650146484;;;21500;0,0009992
21600;0.0009999752044677734;;;21600;0,001
21700;0.0010021209716796875;;;21700;0,0010021
21800;0.001000213623046875;;;21800;0,0010002
21900;0.0012480258941650391;;;21900;0,001248
22000;0.0009991645812988282;;;22000;0,0009992
22100;0.0010012149810791015;;;22100;0,0010012
22200;0.001197481155395508;;;22200;0,0011975
22300;0.0011997222900390625;;;22300;0,0011997
22400;0.0010000228881835937;;;22400;0,001
