lineLimit;relCount;blankQueryTime (rounded);blankQueryTime
200;0;0,3368284;0.3368283748626709
300;26;0,2892235;0.28922348022460936
400;28;0,2140773;0.21407728195190429
500;84;0,3168259;0.31682591438293456
600;96;0,2628218;0.26282176971435545
700;96;0,2278187;0.22781872749328613
800;192;0,2278183;0.22781834602355958
900;245;0,2766218;0.27662181854248047
1000;336;0,2760191;0.2760190963745117
1100;344;0,2242182;0.22421822547912598
1200;414;0,2335685;0.23356847763061522
1300;520;0,2150182;0.2150181770324707
1400;570;0,3380551;0.3380551338195801
1500;660;0,2432198;0.24321975708007812
1600;680;0,2220182;0.2220181941986084
1700;792;0,3350268;0.33502678871154784
1800;847;0,2391345;0.23913445472717285
1900;880;0,3396304;0.3396304130554199
2000;935;0,2778227;0.27782268524169923
2100;1001;0,2178124;0.217812442779541
2200;1012;0,2886353;0.28863525390625
2300;1045;0,3128258;0.31282577514648435
2400;1089;0,2994267;0.2994267463684082
2500;1248;0,2428199;0.242819881439209
2600;1272;0,3352394;0.3352394104003906
2700;1344;0,2238159;0.22381591796875
2800;1380;0,2382195;0.2382195472717285
2900;1476;0,2846254;0.28462538719177244
3000;1524;0,2497808;0.2497807502746582
3100;1690;0,2218201;0.22182011604309082
3200;1742;0,2683929;0.2683929443359375
3300;1768;0,2588204;0.2588203907012939
3400;1794;0,2261420;0.22614197731018065
3500;1846;0,3380283;0.3380283355712891
3600;1898;0,2146173;0.21461730003356932
3700;2114;0,2893345;0.2893345355987549
3800;2142;0,3098250;0.3098249912261963
3900;2340;0,2206153;0.22061529159545898
4000;2385;0,2335074;0.23350739479064941
4100;2475;0,2476156;0.24761557579040527
4200;2704;0,2248185;0.22481846809387207
4300;2736;0,3066515;0.30665149688720705
4400;2941;0,2266182;0.22661824226379396
4500;3009;0,2714147;0.2714146614074707
4600;3094;0,2966265;0.29662652015686036
4700;3420;0,2350152;0.23501524925231934
4800;3648;0,2664776;0.266477632522583
4900;3762;0,2836195;0.28361949920654295
5000;3800;0,3384568;0.3384567737579346
5100;3838;0,2264184;0.22641844749450685
5200;3895;0,3658381;0.36583805084228516
5300;3990;0,2226180;0.2226179599761963
5400;4280;0,2162196;0.21621956825256347
5500;4641;0,3526318;0.3526317596435547
5600;4704;0,2204173;0.22041726112365723
5700;4809;0,2162175;0.2162174701690674
5800;5170;0,2820386;0.28203859329223635
5900;5192;0,3532279;0.35322794914245603
6000;5258;0,2212143;0.22121434211730956
6100;5612;0,2488203;0.24882030487060547
6200;5681;0,2760202;0.2760201930999756
6300;5819;0,2293648;0.22936477661132812
6400;5957;0,2269507;0.22695069313049315
6500;6336;0,2819621;0.28196206092834475
6600;6456;0,2720163;0.2720163345336914
6700;6552;0,2582209;0.258220911026001
6800;6648;0,2305690;0.2305690288543701
6900;6672;0,2528238;0.2528237819671631
7000;6744;0,2252166;0.22521657943725587
7100;7125;0,2342155;0.23421554565429686
7200;7175;0,3384273;0.3384273052215576
7300;7566;0,2553563;0.2553563117980957
7400;7592;0,2894846;0.28948464393615725
7500;7644;0,2216156;0.2216156005859375
7600;7696;0,2916060;0.2916059970855713
7700;8100;0,3462623;0.3462623119354248
7800;8624;0,2845023;0.2845022678375244
7900;8764;0,2213494;0.22134943008422853
8000;8876;0,2850225;0.285022497177124
8100;9251;0,2215240;0.22152395248413087
8200;9367;0,2624597;0.26245965957641604
8300;9396;0,3410621;0.341062068939209
8400;9900;0,2412091;0.241209077835083
8500;10385;0,2494742;0.24947423934936525
8600;11154;0,2630213;0.26302127838134765
8700;11319;0,2492214;0.2492213726043701
8800;11352;0,2234153;0.22341532707214357
8900;11550;0,2482178;0.24821782112121582
9000;11715;0,2549211;0.25492110252380373
9100;11979;0,2891578;0.289157772064209
9200;12111;0,2850266;0.28502659797668456
9300;12648;0,3064254;0.3064253807067871
9400;12716;0,2217871;0.22178707122802735
9500;13265;0,2343732;0.23437318801879883
9600;14171;0,2466182;0.2466181755065918
9700;14393;0,3536071;0.3536070823669434
9800;14615;0,2712145;0.27121453285217284
9900;14800;0,2418195;0.24181947708129883
10000;14800;0,3362311;0.3362311363220215
10100;14911;0,3488193;0.3488192558288574
10200;15022;0,2893784;0.28937835693359376
10300;15170;0,2230172;0.22301716804504396
10400;15355;0,2873100;0.28730998039245603
10500;15503;0,2222221;0.22222208976745605
10600;16575;0,4302378;0.4302377700805664
10700;16653;0,3040248;0.30402483940124514
10800;16731;0,2794198;0.2794197559356689
10900;16926;0,2252215;0.22522149085998536
11000;17680;0,3514247;0.3514247417449951
11100;17760;0,2922268;0.29222683906555175
11200;18491;0,2238177;0.22381768226623536
11300;19026;0,2594489;0.2594489097595215
11400;19651;0,3268296;0.3268296241760254
11500;20284;0,3004240;0.3004239559173584
11600;20925;0,2630051;0.26300511360168455
11700;21574;0,3060247;0.30602474212646485
11800;22704;0,3460279;0.34602789878845214
11900;22944;0,2722220;0.2722219944000244
12000;23520;0,3276263;0.32762632369995115
12100;23716;0,2730909;0.27309088706970214
12200;23863;0,3498322;0.34983224868774415
12300;24450;0,2928264;0.29282636642456056
12400;24550;0,3794308;0.37943081855773925
12500;24800;0,3024247;0.30242466926574707
12600;24900;0,3514286;0.35142855644226073
12700;25653;0,3580292;0.3580292224884033
12800;25908;0,3914316;0.3914316177368164
12900;26624;0,3310290;0.33102903366088865
13000;26832;0,3304267;0.3304266929626465
13100;27040;0,3380274;0.3380274295806885
13200;27196;0,3484287;0.34842867851257325
13300;27612;0,3012247;0.3012247085571289
13400;27924;0,3422237;0.3422236919403076
13500;28080;0,3572308;0.35723080635070803
13600;28340;0,2766234;0.27662339210510256
13700;28496;0,3412276;0.3412276268005371
13800;28808;0,3568290;0.35682902336120603
13900;29680;0,3350272;0.3350271701812744
14000;29998;0,3426281;0.34262814521789553
14100;31460;0,3598267;0.35982670783996584
