lineLimit,relCount,blankQueryTime
200,0,0.012401533126831055
300,26,0.0034000396728515623
400,28,0.0029998779296875
500,84,0.0025997161865234375
600,96,0.0037998199462890626
700,96,0.0035999298095703127
800,192,0.004199790954589844
900,245,0.0056000232696533205
1000,336,0.007000732421875
1100,344,0.005600833892822265
1200,414,0.006803750991821289
1300,520,0.007600259780883789
1400,570,0.007800531387329101
1500,660,0.006400537490844726
1600,680,0.009000682830810547
1700,792,0.010199499130249024
1800,847,0.009686994552612304
1900,880,0.010396671295166016
2000,935,0.01460127830505371
2100,1001,0.006600332260131836
2200,1012,0.009200716018676757
2300,1045,0.012002992630004882
2400,1089,0.009200191497802735
2500,1248,0.013112783432006836
2600,1272,0.014002132415771484
2700,1344,0.01439809799194336
2800,1380,0.013803958892822266
2900,1476,0.014401531219482422
3000,1524,0.015846776962280273
3100,1690,0.013803386688232422
3200,1742,0.012801027297973633
3300,1768,0.018001413345336913
3400,1794,0.01905202865600586
3500,1846,0.01940159797668457
3600,1898,0.01800112724304199
3700,2114,0.01700143814086914
3800,2142,0.021003103256225585
3900,2340,0.021601247787475585
4000,2385,0.022801780700683595
4100,2475,0.020601511001586914
4200,2704,0.04344849586486817
4300,2736,0.03160223960876465
4400,2941,0.023002767562866212
4500,3009,0.027802705764770508
4600,3094,0.023401975631713867
4700,3420,0.0256014347076416
4800,3648,0.02520155906677246
4900,3762,0.022801876068115234
5000,3800,0.025893735885620116
5100,3838,0.024201345443725587
5200,3895,0.03379826545715332
5300,3990,0.03220205307006836
5400,4280,0.03380284309387207
5500,4641,0.024999570846557618
5600,4704,0.030202150344848633
5700,4809,0.03780455589294433
5800,5170,0.03700413703918457
5900,5192,0.03480496406555176
6000,5258,0.03684544563293457
6100,5612,0.03989219665527344
6200,5681,0.03200254440307617
6300,5819,0.03720278739929199
6400,5957,0.03800287246704102
6500,6336,0.04700322151184082
6600,6456,0.03320188522338867
6700,6552,0.04160323143005371
6800,6648,0.04572758674621582
6900,6672,0.023801517486572266
7000,6744,0.04753232002258301
7100,7125,0.05040044784545898
7200,7175,0.049203920364379886
7300,7566,0.04740395545959473
7400,7592,0.05100359916687012
7500,7644,0.04580402374267578
7600,7696,0.02920217514038086
7700,8100,0.058004331588745114
